17401 1.98291  -52.5327
17501 2.0112  -52.5819
17601 1.9787  -52.5984
17701 1.97892  -52.5895
17801 1.98257  -52.5971
17901 1.98042  -52.5627
18001 1.98903  -52.5727
18101 1.99968  -52.5826
18201 1.98879  -52.5975
18301 1.99546  -52.6346
18401 1.98253  -52.6613
18501 2.01214  -52.6585
18601 2.03363  -52.6461
18701 2.01338  -52.6497
18801 2.00191  -52.6544
18901 2.04757  -52.6735
19001 2.04979  -52.6803
19101 2.04171  -52.7027
19201 2.04006  -52.6934
19301 2.04919  -52.6945
19401 2.0229  -52.7002
19501 2.035  -52.7094
19601 2.03898  -52.729
19701 2.02547  -52.7434
19801 2.01818  -52.7225
19901 2.01489  -52.7235
20001 2.02185  -52.7355
20101 2.0264  -52.7339
20201 2.01415  -52.7619
20301 1.99461  -52.7605
20401 1.99148  -52.7483
20501 2.00956  -52.7839
20601 2.00102  -52.7984
20701 2.00844  -52.817
20801 2.02968  -52.824
20901 2.01044  -52.8241
21001 1.99197  -52.806
21101 1.99824  -52.7734
21201 1.99408  -52.8114
21301 2.02104  -52.8419
21401 1.99744  -52.8605
21501 2.03384  -52.8717
21601 2.01829  -52.9043
21701 2.01608  -52.8849
21801 2.02334  -52.8959
21901 2.04624  -52.8968
22001 2.02365  -52.8913
22101 2.01756  -52.882
22201 2.04211  -52.8877
22301 2.02328  -52.8898
22401 2.02778  -52.9226
22501 2.03277  -52.9414
22601 2.02161  -52.9662
22701 2.05371  -52.9903
22801 2.03484  -52.9919
22901 2.05253  -52.9915
23001 2.04694  -52.996
23101 2.03828  -52.993
23201 2.03169  -52.9808
23301 2.03769  -52.9779
23401 2.03044  -52.9916
23501 2.03177  -52.9978
23601 2.03908  -52.9839
23701 2.04761  -53.0013
23801 2.02759  -52.9873
23901 2.00719  -52.9948
24001 2.02967  -53.0289
24101 2.02121  -53.0078
24201 2.03688  -53.0338
24301 2.04069  -53.064
24401 2.02672  -53.053
24501 2.0323  -53.0807
24601 2.02732  -53.1049
24701 2.02432  -53.1242
24801 2.07972  -53.1433
24901 2.07493  -53.1631
25001 2.05512  -53.1687
25101 2.07264  -53.1837
25201 2.05562  -53.2002
25301 2.03807  -53.1959
25401 2.03296  -53.2106
25501 2.07982  -53.2245
25601 2.06238  -53.2552
25701 2.05131  -53.2765
25801 2.07507  -53.301
25901 2.07416  -53.3112
26001 2.08511  -53.3301
26101 2.05923  -53.3416
26201 2.07087  -53.3702
26301 2.07204  -53.3693
26401 2.07133  -53.4089
26501 2.07903  -53.4105
26601 2.07427  -53.3999
26701 2.07145  -53.3894
26801 2.0958  -53.3903
26901 2.08546  -53.4188
27001 2.07991  -53.4468
27101 2.07647  -53.4711
27201 2.0874  -53.4812
27301 2.06663  -53.4975
27401 2.05623  -53.4937
27501 2.07273  -53.5283
27601 2.05881  -53.54
27701 2.07924  -53.5459
27801 2.09322  -53.5584
27901 2.09247  -53.5517
28001 2.08566  -53.5674
28101 2.06087  -53.5874
28201 2.06411  -53.5746
28301 2.08041  -53.5966
28401 2.06915  -53.6243
28501 2.04324  -53.6414
28601 2.05961  -53.6151
28701 2.07875  -53.6394
28801 2.07663  -53.6438
28901 2.10039  -53.6755
29001 2.1318  -53.7035
29101 2.08445  -53.7117
29201 2.10741  -53.7332
29301 2.11037  -53.7122
29401 2.11632  -53.7142
29501 2.12095  -53.7243
29601 2.10458  -53.7008
29701 2.08577  -53.6792
29801 2.1055  -53.71
29901 2.11907  -53.7451
30001 2.0838  -53.749
30101 2.10998  -53.7897
30201 2.11657  -53.7863
30301 2.08407  -53.7923
30401 2.10195  -53.7835
30501 2.10634  -53.8116
30601 2.10157  -53.7846
30701 2.12099  -53.8383
30801 2.1183  -53.8318
30901 2.11406  -53.858
31001 2.13805  -53.8767
31101 2.10218  -53.8905
31201 2.10985  -53.9464
31301 2.1304  -53.9871
31401 2.11251  -54.0112
31501 2.15525  -54.029
31601 2.12883  -54.0344
31701 2.14359  -54.058
31801 2.14628  -54.045
31901 2.1366  -54.0927
32001 2.15125  -54.1101
32101 2.13223  -54.1481
32201 2.16862  -54.1781
32301 2.1397  -54.19
32401 2.13704  -54.1839
32501 2.13679  -54.2115
32601 2.14233  -54.2715
32701 2.15408  -54.2509
32801 2.16271  -54.2846
32901 2.15468  -54.2867
33001 2.16093  -54.2819
33101 2.16239  -54.2985
33201 2.16175  -54.3091
33301 2.17019  -54.3313
33401 2.1737  -54.3883
33501 2.15975  -54.3696
33601 2.16596  -54.399
33701 2.14141  -54.4089
33801 2.15106  -54.3949
33901 2.16205  -54.4012
34001 2.16307  -54.3881
34101 2.14795  -54.3894
34201 2.14473  -54.3922
34301 2.13787  -54.3934
34401 2.16664  -54.3943
34501 2.14808  -54.4093
34601 2.14504  -54.414
